API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug 15 12:00:27 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 UT      
Step-size       : 59040 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260814.p261110                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-14. PREDICTS-> 2026-NOV-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
 Date__(UT)__HR:MN           TDB-UT     ObsEcLon    ObsEcLat
************************************************************
$$SOE
 1900-Jan-01 00:00        -1.944461  272.4162663   1.1082671
 1900-Feb-11 00:00        -1.815053  102.3940125  -2.0654153
 1900-Mar-24 00:00        -1.683268  270.0257429   1.4272464
 1900-May-04 00:00        -1.549189  103.8048581  -2.8206841
 1900-Jun-14 00:00        -1.412903  273.1001175   1.9865241
 1900-Jul-25 00:00        -1.274496  103.2289513  -2.8085573
 1900-Sep-04 00:00        -1.134051  270.8513959   2.1220618
 1900-Oct-15 00:00        -0.991655  106.3444172  -3.5805271
 1900-Nov-25 00:00        -0.847393  273.5141504   2.7880216
 1901-Jan-05 00:00        -0.701350  103.8696070  -3.4982425
 1901-Feb-15 00:00        -0.553613  272.6131616   2.8953437
 1901-Mar-28 00:00        -0.404265  106.5086722  -4.1027844
 1901-May-08 00:00        -0.253393  273.6581025   3.4871414
 1901-Jun-18 00:00        -0.101082  105.2682403  -4.1602496
 1901-Jul-29 00:00        0.0525825  275.5057160   3.6182365
 1901-Sep-08 00:00        0.2075155  105.7907955  -4.4118320
 1901-Oct-19 00:00        0.3636315  275.0236126   4.1303738
 1901-Nov-29 00:00        0.5208450  107.1083482  -4.7134274
 1902-Jan-09 00:00        0.6790707  277.7549112   4.2065975
 1902-Feb-19 00:00        0.8382233  103.7937198  -4.6467542
 1902-Apr-01 00:00        0.9982172  277.3844063   4.6759427
 1902-May-12 00:00         1.158967  106.9544918  -5.0336591
 1902-Jun-22 00:00         1.320388  279.5724475   4.6685621
 1902-Aug-02 00:00         1.482394  103.2495914  -4.8324044
 1902-Sep-12 00:00         1.644900  280.9312440   5.0075684
 1902-Oct-23 00:00         1.807820  106.0545916  -5.2208168
 1902-Dec-03 00:00         1.971070  281.5805313   4.9987392
 1903-Jan-13 00:00         2.134564  103.1008528  -4.9588739
